Level 1. IO 與 運算,,,
,#,Problem Title,Subs
,1005,第一支程式 - 簡單輸出文字,7769
,1006,兩數相加 - 簡易版,4992
,3036,輸入與輸出,9382
,1001,基本輸入輸出交換,9331
,1004,基本輸出練習,2099
,1009,數字切割列印,554
,3001,梯型面積I,7275
,1007,數字位數加總I,2837
,3002,梯型面積II,8444
,1028,三角形判斷-基礎版,591
,1002,兩數相加,9815
,1101,簡單計算機(HW),3603
,1406,阿宅的學習影片,3638
,1176,圓面積III - 小六數學題,354
,1003,三數簡易計算,6205
,1161,圓面積IV- 牛可以吃多少草,689
,3030,引入模組+格式化輸出,4755
,3031,單位換算-打(Dozen),6215
,1201,雞兔同籠,6797
,1501,Bond 的考試,3830
,1511,小當家的神秘菜餚,2528
,3096,求三角形面積,1455
,1068,盒子的體積,122
,3234,位數和，平均與標準差計算,621
Level 2. 流程控制,,,
,#,Problem Title,Subs
,1178,三數關係判斷,710
,1008,數字位數加總II,2111
,1010,是3和5的倍數嗎？,377
,3005,判斷成績是否及格I,8541
,1154,3的餘數們,291
,1011,判斷成績是否及格II,6888
,1035,n的i次方計算,335
,1036,2n-1序列,386
,1012,判斷成績是否及格III,11339
,1020,舒跑飲料季,5498
,1401,輸入資料&判斷式,2290
,1402,身分證檢驗 I,1989
,1412,身分證檢驗 II,862
,1421,十二生肖年份表,909
,1037,i序列,637
,3008,1加到n I,7296
,1013,簡單計算機 switch-case,6045
,1014,1加到n II,10012
,3025,小明四季大考驗,2053
,3028,三角形判斷I,3202
,1026,密碼驗證II,1422
,1303,輸入直到-1結束 0,163
,3009,n!,5772
,1015,直到輸入q後程式結束 -while,5820
,1019,BMI計算機,6268
,3017,輸入直到-1結束 I - 找最大值,6600
,3021,GPA 換算,2766
,1027,密碼驗證III - 字串版,678
,1016,按下y才重覆執行,3671
,1017,沒有4樓,5625
,1018,判斷成績是否及格IV,2890
,1150,老師我的print怪怪的？ I,1091
,3060,輸入直到-1結束 II - 找最小值,341
,1186,旗標練習 (測試中),79
,3047,方塊*號列印-巢狀迴圈,7998
,3022,迴圈-數字加總,1240
,3048,三角*號列印I,7653
,3026,小明的查帳簿,868
,3049,三角*號列印II,5775
,1021,三角*號列印III,4344
,1022,三角*號列印IV,4680
,3050,三角數字列印,5579
,3102,2到m之間的質數(HW),4892
,3053,金字塔,2920
,1102,九九乘法表(HW),11903
,3027,小明要繳稅,3855
,1103,數字轉文字輸出(中文大寫數字輸出),6876
,1090,日曆列印機,263
,1104,數字轉文字輸出(英文數字輸出)(HW),2947
,1124,餘數分類計算,221
,1169,最大值與最小值 I,116
,1081,踩踏游戲,1525
,1125,矩形的重疊面積,77
,3235,Watershed,592
,1170,最大值與最小值 II,122
,3041,阿姆斯壯數,1759
,1140,Flash的謠言,1181
,3058,這學期可以順利嗎？,492
,3095,天干地支與生肖,564
,3098,9跟在1後面,1340
,1171,最大值與最小值 III,171
,3043,華華翻山越嶺,1368
,1145,建造樓梯,398
,1128,數字的出現次數,98
,1129,機器人的命運,1480
,3236,星際公民的交換禮物I,81
,3237,星際公民的交換禮物II,224
Level 3. 陣列、容器,,,
,#,Problem Title,Subs
,1030,一維陣列/容器小練習 I,1447
,3062,List-append pop練習 I,5772
,1029,分數平均、不及格的同學,1002
,1034,一維陣列/容器小練習 II,2658
,1031,分數平均、不及格的同學、與最高分,4132
,1038,反向列印,317
,1172,一維陣列/容器小練習 III,176
,1032,泡沫排序,3761
,1189,分數平均、不及格的同學、與最高分 II,70
,1033,印出各班總分、平均-二維陣列,2822
,1105,成績計算與列印-二維陣列(HW),8057
,3018,成績計算與列印-二維陣列-輸入版(HW),4439
,1039,奇偶分流,207
,1158,三角形判斷II,79
,1166,上三角矩陣求解,68
,3032,輸入數字直到q離開II,2795
,1151,老師我的print怪怪的？ II,1472
,1058,二維陣列算平均,132
,1179,矩陣翻轉,88
,1059,二維陣列-大於鄰居的元素,134
,3023,迴圈 + 判斷式 + 容器(list) I,1386
,3033,等差數列相加(等差級數),2167
